"IACS/VEN plate, sorted by concentrations. Taken 3/30/23 GO",,,,,
plate,xrow,xcol,iacs_conc,ven_conc,luminescence
1,A,x1,0,0,420225
1,A,x2,0,0,427784
1,B,x1,0,0,424005
1,B,x2,0,0,388376
1,C,x1,0.39,0,237242
1,C,x2,0.39,0,227238
1,D,x1,0.39,0,272345
1,D,x2,0.39,0,245988
1,E,x1,0.78,0,280651
1,E,x2,0.78,0,227520
1,F,x1,0.78,0,285531
1,F,x2,0.78,0,254339
1,G,x1,1.56,0,295123
1,G,x2,1.56,0,253984
1,H,x1,1.56,0,287943
1,H,x2,1.56,0,253094
1,A,x3,0,0.390625,395713
1,A,x4,0,0.390625,425562
1,B,x3,0,0.390625,398568
1,B,x4,0,0.390625,393499
1,C,x3,0.39,0.390625,168727
1,C,x4,0.39,0.390625,140457
1,D,x3,0.39,0.390625,162631
1,D,x4,0.39,0.390625,145702
1,E,x3,0.78,0.390625,175211
1,E,x4,0.78,0.390625,164742
1,F,x3,0.78,0.390625,220797
1,F,x4,0.78,0.390625,162981
1,G,x3,1.56,0.390625,210521
1,G,x4,1.56,0.390625,200619
1,H,x3,1.56,0.390625,218696
1,H,x4,1.56,0.390625,185761
1,A,x5,0,0.78125,413484
1,A,x6,0,0.78125,399520
1,B,x5,0,0.78125,416183
1,B,x6,0,0.78125,400929
1,C,x5,0.39,0.78125,137417
1,C,x6,0.39,0.78125,135262
1,D,x5,0.39,0.78125,127976
1,D,x6,0.39,0.78125,141336
1,E,x5,0.78,0.78125,140336
1,E,x6,0.78,0.78125,126180
1,F,x5,0.78,0.78125,140804
1,F,x6,0.78,0.78125,145036
1,G,x5,1.56,0.78125,183853
1,G,x6,1.56,0.78125,158688
1,H,x5,1.56,0.78125,167229
1,H,x6,1.56,0.78125,178395
1,A,x7,0,1.5625,426037
1,A,x8,0,1.5625,427933
1,B,x7,0,1.5625,403984
1,B,x8,0,1.5625,416510
1,C,x7,0.39,1.5625,122102
1,C,x8,0.39,1.5625,108335
1,D,x7,0.39,1.5625,111004
1,D,x8,0.39,1.5625,106302
1,E,x7,0.78,1.5625,121455
1,E,x8,0.78,1.5625,115699
1,F,x7,0.78,1.5625,111584
1,F,x8,0.78,1.5625,118017
1,G,x7,1.56,1.5625,120960
1,G,x8,1.56,1.5625,129135
1,H,x7,1.56,1.5625,124499
1,H,x8,1.56,1.5625,122599
2,A,x1,3.13,3.13,90135
2,A,x2,3.13,3.13,97879
2,B,x1,3.13,3.13,93969
2,B,x2,3.13,3.13,90238
2,C,x1,6.25,3.13,83560
2,C,x2,6.25,3.13,94701
2,D,x1,6.25,3.13,85781
2,D,x2,6.25,3.13,80769
2,E,x1,12.5,3.13,108032
2,E,x2,12.5,3.13,104025
2,F,x1,12.5,3.13,102805
2,F,x2,12.5,3.13,100894
2,G,x1,25,3.13,100381
2,G,x2,25,3.13,103669
2,H,x1,25,3.13,96292
2,H,x2,25,3.13,93884
2,A,x3,3.13,6.25,75691
2,A,x4,3.13,6.25,83195
2,B,x3,3.13,6.25,68294
2,B,x4,3.13,6.25,73874
2,C,x3,6.25,6.25,69081
2,C,x4,6.25,6.25,72053
2,D,x3,6.25,6.25,70158
2,D,x4,6.25,6.25,68614
2,E,x3,12.5,6.25,89006
2,E,x4,12.5,6.25,78813
2,F,x3,12.5,6.25,90557
2,F,x4,12.5,6.25,84922
2,G,x3,25,6.25,88698
2,G,x4,25,6.25,90904
2,H,x3,25,6.25,91388
2,H,x4,25,6.25,84472
2,A,x5,3.13,12.5,75065
2,A,x6,3.13,12.5,71705
2,B,x5,3.13,12.5,69079
2,B,x6,3.13,12.5,75999
2,C,x5,6.25,12.5,62615
2,C,x6,6.25,12.5,76639
2,D,x5,6.25,12.5,58914
2,D,x6,6.25,12.5,63265
2,E,x5,12.5,12.5,79115
2,E,x6,12.5,12.5,76301
2,F,x5,12.5,12.5,80384
2,F,x6,12.5,12.5,85462
2,G,x5,25,12.5,70486
2,G,x6,25,12.5,70444
2,H,x5,25,12.5,64559
2,H,x6,25,12.5,56563
2,A,x7,3.13,25,82023
2,A,x8,3.13,25,83119
2,B,x7,3.13,25,84842
2,B,x8,3.13,25,87351
2,C,x7,6.25,25,96704
2,C,x8,6.25,25,97575
2,D,x7,6.25,25,97358
2,D,x8,6.25,25,100861
2,E,x7,12.5,25,116766
2,E,x8,12.5,25,148081
2,F,x7,12.5,25,121035
2,F,x8,12.5,25,127668
2,G,x7,25,25,98280
2,G,x8,25,25,96621
2,H,x7,25,25,81654
2,H,x8,25,25,74351
