xrow,xcol,vs6766_conc,vs4718_conc,luminescence
A,x1,0,0,1.876
A,x2,0,0,1.545
B,x1,0,0,1.572
B,x2,0,0,1.317
C,x1,0,150,1.418
C,x2,0,150,1.369
D,x1,0,150,1.483
D,x2,0,150,1.318
E,x1,0,300,1.425
E,x2,0,300,1.466
F,x1,0,300,1.424
F,x2,0,300,1.447
G,x1,0,600,1.397
G,x2,0,600,1.105
H,x1,0,600,1.184
H,x2,0,600,1.071
A,x3,150,0,1.224
A,x4,150,0,1.52
B,x3,150,0,1.065
B,x4,150,0,1.143
C,x3,150,150,1.072
C,x4,150,150,1.087
D,x3,150,150,0.992
D,x4,150,150,1.027
E,x3,150,300,1.068
E,x4,150,300,1.077
F,x3,150,300,1.037
F,x4,150,300,1.034
G,x3,150,600,0.783
G,x4,150,600,0.823
H,x3,150,600,0.763
H,x4,150,600,0.819
A,x5,300,0,1.142
A,x6,300,0,1.155
B,x5,300,0,1.159
B,x6,300,0,1.071
C,x5,300,150,1.004
C,x6,300,150,0.965
D,x5,300,150,1.014
D,x6,300,150,0.981
E,x5,300,300,1.117
E,x6,300,300,1.023
F,x5,300,300,1.102
F,x6,300,300,1.007
G,x5,300,600,0.914
G,x6,300,600,1.006
H,x5,300,600,0.951
H,x6,300,600,0.997
A,x7,600,0,1.057
A,x8,600,0,1.205
B,x7,600,0,1.044
B,x8,600,0,1.385
C,x7,600,150,1.086
C,x8,600,150,1.189
D,x7,600,150,1.098
D,x8,600,150,1.398
E,x7,600,300,1
E,x8,600,300,1.138
F,x7,600,300,1.051
F,x8,600,300,1.415
G,x7,600,600,1.21
G,x8,600,600,1.641
H,x7,600,600,1.163
H,x8,600,600,1.078
